2025-07-22 11:38:46 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 11:38:59 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 11:38:59 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 11:40:44 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 11:40:44 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 11:40:44 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 11:40:45 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 11:40:45 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 11:40:45 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 11:40:45 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 11:40:45 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 11:40:46 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 11:40:46 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 11:41:42 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 11:41:42 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 11:44:14 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 11:44:14 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
